# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
CentOS-71-64-minimal;60;1430925756;-2379.87;0.50;2226.72
CentOS-71-64-minimal;60;1430925816;-1509.28;0.40;1464.55
CentOS-71-64-minimal;60;1430925876;-1691.30;0.35;1641.75
CentOS-71-64-minimal;60;1430925936;-1482.58;0.27;1438.08
CentOS-71-64-minimal;60;1430925996;-1553.30;0.42;1513.08
CentOS-71-64-minimal;60;1430926056;-1558.07;0.50;1518.10
CentOS-71-64-minimal;60;1430926116;-1564.40;0.38;1521.52
CentOS-71-64-minimal;60;1430926176;-1421.18;0.23;1379.75
CentOS-71-64-minimal;60;1430926236;-1625.45;0.60;1577.58
CentOS-71-64-minimal;60;1430926296;-1578.10;0.40;1537.82
